"Номер заказа";"Номер отправления";"Принят в обработку";"Дата отгрузки";"Статус";"Дата доставки";"Фактическая дата передачи в доставку";"Сумма отправления";"Код валюты отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Код валюты товара";"Стоимость товара для покупателя";"Код валюты покупателя";"Количество";"Стоимость доставки";"Связанные отправления";"Цена товара до скидок";"Скидка %";"Скидка руб";"Акции";"Подъем на этаж"
"98416374-0059";"98416374-0059-1";"2025-04-04 04:21:29";"2025-04-04 19:30:00";"Ожидает сборки";;;"1099.00";"RUB";"Сухарики ведомого вариатора (передние) для снегохода BRP Ski-Doo/Lynx 619100040 - 03-202 3 шт";"438634157";"03-202";"1099.00";"RUB";"0.00";;"1";;;"1099.00";"0%";"0.00";;
"23776683-0009";"23776683-0009-1";"2025-04-04 04:30:38";"2025-04-04 19:30:00";"Ожидает сборки";;;"4050.00";"RUB";"Винт гребной Gladiator 8.9х7.5 для Tohatsu, Hidea, Sea-Pro, HDX, Gladiator 8-9.8 л.с";"1444570296";"BSM4619";"4050.00";"RUB";"0.00";;"1";;;"4050.00";"0%";"0.00";;
"91905006-0146";"91905006-0146-1";"2025-04-04 04:31:21";"2025-04-04 19:30:00";"Ожидает сборки";;;"9576.00";"RUB";"Винт гребной Solas 9.25x12 для Tohatsu/Hidea/Gladiator 9.9-20 л.с.";"461564588";"5111-093-12";"9576.00";"RUB";"0.00";;"1";;;"9576.00";"0%";"0.00";;
"0125968551-0021";"0125968551-0021-1";"2025-04-04 04:32:17";"2025-04-04 19:30:00";"Ожидает сборки";;;"241.00";"RUB";"Кольцо уплотнительное топливного фильтра - 93210-32738";"1612031886";"15A-303006";"241.00";"RUB";"0.00";;"1";;;"241.00";"0%";"0.00";;
"99301032-0043";"99301032-0043-3";"2025-04-04 04:33:16";"2025-04-04 19:30:00";"Ожидает сборки";;;"662.00";"RUB";"Фиттинг топливный для Suzuki коннектор";"486343519";"C14503";"662.00";"RUB";"0.00";;"1";;;"662.00";"0%";"0.00";;
"50000827-0289";"50000827-0289-1";"2025-04-04 04:42:38";"2025-04-04 19:30:00";"Ожидает сборки";;;"718.00";"RUB";"Пробка резиновая сливная 25 мм с вентилем фиксатора";"1235105329";"SF20325-12";"718.00";"RUB";"0.00";;"1";;;"718.00";"0%";"0.00";;
"36254433-0387";"36254433-0387-4";"2025-04-04 04:44:57";"2025-04-04 19:30:00";"Ожидает сборки";;;"10042.00";"RUB";"Гидрокрыло для подвесного лодочного мотора 60-300 л.с., монтаж без сверления";"945275340";"080204T";"10042.00";"RUB";"0.00";;"1";;;"10042.00";"0%";"0.00";;
"0126500854-0182";"0126500854-0182-1";"2025-04-04 05:03:32";"2025-04-04 19:30:00";"Ожидает сборки";;;"448.00";"RUB";"Клей REAKTOR Высокоэластичный, цвет ТЕМНО-СЕРЫЙ 30 мл. ""ЖИДКАЯ ЗАПЛАТКА"" для ремонта лодок, тентов, бассейнов, палаток, матрасов и других изделий из ПВХ без латок / Герметик для лодки";"486087107";"000065R";"224.00";"RUB";"0.00";;"2";;;"224.00";"0%";"0.00";;
"0178444252-0014";"0178444252-0014-2";"2025-04-04 05:10:19";"2025-04-04 19:30:00";"Ожидает сборки";;;"610.00";"RUB";"Сальник редуктора для Yamaha 25-40 л.с";"488460442";"93101-22M60";"610.00";"RUB";"0.00";;"1";;;"610.00";"0%";"0.00";;
"67229040-0111";"67229040-0111-1";"2025-04-04 05:21:39";"2025-04-04 19:30:00";"Ожидает сборки";;;"226.00";"RUB";"Пружина замка колпака - 90506-16M34";"1627299694";"40F-02.02.00.06";"226.00";"RUB";"0.00";;"1";;;"226.00";"0%";"0.00";;
"0175270402-0016";"0175270402-0016-1";"2025-04-04 05:30:49";"2025-04-04 19:30:00";"Ожидает сборки";;;"1305.00";"RUB";"Ремень вентилятора для снегоходов Yamaha Viking VK 540, 8H8-12612-00 - 90-456";"437912913";"90-456";"1305.00";"RUB";"0.00";;"1";;;"1305.00";"0%";"0.00";;
"62504789-0217";"62504789-0217-1";"2025-04-04 05:33:15";"2025-04-04 19:30:00";"Ожидает сборки";;;"400.00";"RUB";"Сальник гребного вала 15х28х10 для Tohatsu, Gladiator, HDX, Hangkai 4, 5, 6, 8, 9.8 - 369-60111-0";"1463134740";"05A-801029";"400.00";"RUB";"0.00";;"1";;;"400.00";"0%";"0.00";;
"99506220-0044";"99506220-0044-1";"2025-04-04 05:38:49";"2025-04-04 19:30:00";"Ожидает сборки";;;"9576.00";"RUB";"Винт гребной Solas 9.25x11 для Yamaha/Honda/Hangkai 9.9-20 л.с.";"461597580";"3111-093-11";"9576.00";"RUB";"0.00";;"1";;;"9576.00";"0%";"0.00";;
"97969177-0234";"97969177-0234-1";"2025-04-04 05:45:58";"2025-04-04 19:30:00";"Ожидает сборки";;;"3105.00";"RUB";"Указатель давления масла (BS), 0-10 бар";"486108401";"KY15006";"3105.00";"RUB";"0.00";;"1";;;"3105.00";"0%";"0.00";;
"29245131-0076";"29245131-0076-1";"2025-04-04 05:49:11";"2025-04-04 19:30:00";"Ожидает сборки";;;"274.00";"RUB";"Пыльник тяги переключения передач Yamaha, Gladiator, HDX - 682-42727-00, 682-42727-00-00";"1612012475";"15A-602005";"274.00";"RUB";"0.00";;"1";;;"274.00";"0%";"0.00";;
"0110831290-0032";"0110831290-0032-1";"2025-04-04 05:54:52";"2025-04-04 19:30:00";"Ожидает сборки";;;"875.00";"RUB";"Огонь клотиковый (стояночный) Skipper на стойке, 4"", пластик, лампа накаливания, белый";"1598570934";"SK-00120WH";"875.00";"RUB";"0.00";;"1";;;"875.00";"0%";"0.00";;
"25775810-0051";"25775810-0051-1";"2025-04-04 05:59:10";"2025-04-04 19:30:00";"Ожидает сборки";;;"870.00";"RUB";"Фильтр масляный для лодочного мотора Suzuki 4 такта, DF4A-DF6A - 16510-16H11";"1853635075";"RTT-16510-16H11";"870.00";"RUB";"0.00";;"1";;;"870.00";"0%";"0.00";;
